method,Nmeas,fmin,fmax,ncp,upper,lpred,MIPgap,tvec_1,tvec_2,tvec_3,tvec_4,tvec_5,tvec_6,tvec_7,tvec_8,tvec_9,tvec_10,tvec_11,tvec_12,tvec_13,tvec_14,tvec_15,tvec_16,tvec_17,tvec_18,tvec_19,tvec_20,tvec_21,tvec_22,tvec_23,tvec_24,tvec_25,tvec_26,tvec_27,tvec_28,tvec_29,tvec_30,tvec_31,tvec_32,tvec_33,tvec_34,tvec_35,tvec_36,tvec_37,tvec_38,tvec_39,tvec_40,tvec_41,tvec_42,tvec_43,tvec_44,tvec_45,tvec_46,tvec_47,tvec_48
diffEVCR,16,1,12,6.080637,NaN,NaN,NaN,0.414834254094379,0.378546349258062,0.0766222009102131,0.846159227273266,0.485796334646561,0.597780185238123,0.0437828665842054,0.56595892726157,0.340551244992216,0.450670358685139,0.774603941052664,0.194506975909604,0.524054073451299,0.31321125626746,0.631528290062139,0.670816970688686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,14,5.943824,NaN,NaN,NaN,0.779994277680491,0.629077444732318,0.559834635389728,0.657218575100363,0.240213698433375,0.947529638503565,0.71878658552411,0.473754089484242,0.398517860314893,0.687246295036282,0.37323529876754,0.596713659456122,0.050722591029533,0.577038810252604,0.501606471911251,0.530089774954143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,16,5.732946,NaN,NaN,NaN,0.529588297999423,0.407365897666985,0.325119948843144,0.611999173338823,0.293114656939083,0.432237642798455,0.596144224822929,0.557613283058026,0.502159131779799,0.767921318119636,0.0933189804710336,0.380970891188282,0.355781861099709,0.2334528546417,0.475505148161666,0.920155210810366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,18,5.635001,NaN,NaN,NaN,0.666244229801774,0.693933078209921,0.411857870853603,0.035602664777931,0.616949302912445,0.587950494316122,0.486833378573513,0.431771324710918,0.539441626147811,0.302700003346685,0.462552897704975,0.170407367986705,0.326595252328066,0.858206965312136,0.639790734295743,0.511208381099932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,1,7.999715,NaN,NaN,NaN,0.924419648681718,0.730044925737276,0.543042647435466,0.821790186506292,0.160053702136027,0.495296121892203,0.301471124087203,0.0878551510562618,0.448770471511704,0.280849643129542,0.873928230346978,0.61560820320358,0.641629224303819,0.289216235228185,0.0946000464074753,0.932625873218589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,20,5.498384,NaN,NaN,NaN,0.590890834966666,0.325165364649118,0.0945978893449516,0.909095192849836,0.539760466845324,0.570428437989119,0.660280265178685,0.807439819384985,0.470506894647276,0.279921496345441,0.635192326523241,0.614483729399443,0.343720124044617,0.704610039321105,0.49115556298426,0.446596440169203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,22,5.393229,NaN,NaN,NaN,0.802097825577003,0.532953449447278,0.378596783996379,0.784522716245647,0.913495248031737,0.228311491745895,0.555549982218114,0.331882122676187,0.400260707665844,0.65318145998006,0.998840694284556,0.589996197292355,0.473235937709311,0.632994217962872,0.516213087451433,0.568739721598088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,24,5.310376,NaN,NaN,NaN,0.568788505396064,0.443086770726945,0.461150847501629,0.23006052654265,0.309245769036211,0.378376301508962,0.853022662278217,0.622893033632689,0.965493309468887,0.393475370675846,0.531440238874708,0.749991431487774,0.476471788327166,0.215267001906903,0.497393113841008,0.426177857079493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,2,7.695769,NaN,NaN,NaN,0.450293701981668,0.560848436998144,0.620294794973847,0.46020813567191,0.244578235662759,0.996557276705918,0.787393425587804,0.600019774881294,0.0092739070404544,0.869895474837877,0.142496832664599,0.215269060644921,0.3603583755058,0.680894231396565,0.3737595327051,0.791456625958329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,4,7.31689,NaN,NaN,NaN,0.283698076613111,0.955895838613192,0.0534162883476074,0.389646174750618,0.462541582006415,0.65745986401121,0.605603894880766,0.214695888144827,0.720496431974625,0.326176172376762,0.861747399611949,0.405840258856401,0.778322046718864,0.146934539296746,0.544737860475805,0.501676087638454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
