100,0.043719,NaN,NaN,1
100,10.278329,NaN,NaN,2
100,0.316311,NaN,NaN,3
100,0.088649,NaN,NaN,4
300,0.003491,NaN,NaN,1
300,31.67701,NaN,NaN,2
300,0.93118,NaN,NaN,3
300,0.020666,NaN,NaN,4
500,0.007973,NaN,NaN,1
500,50.884035,NaN,NaN,2
500,1.436529,NaN,NaN,3
500,0.041554,NaN,NaN,4
700,0.002255,NaN,NaN,1
700,88.509,NaN,NaN,2
700,4.458879,NaN,NaN,3
700,0.049978,NaN,NaN,4
900,0.026633,NaN,NaN,1
900,143.326453,NaN,NaN,2
900,5.027771,NaN,NaN,3
900,0.063502,NaN,NaN,4
1100,0.00499,NaN,NaN,1
1100,162.325462,NaN,NaN,2
1100,7.028125,NaN,NaN,3
1100,0.04163,NaN,NaN,4
100,0.001246,NaN,NaN,1
100,18.093514,NaN,NaN,2
100,0.696893,NaN,NaN,3
100,0.031118,NaN,NaN,4
300,0.00039,NaN,NaN,1
300,54.575348,NaN,NaN,2
300,1.803209,NaN,NaN,3
300,0.066893,NaN,NaN,4
500,0.000427,NaN,NaN,1
500,93.042909,NaN,NaN,2
500,3.403218,NaN,NaN,3
500,0.048409,NaN,NaN,4
700,0.00047,NaN,NaN,1
700,75.225894,NaN,NaN,2
700,2.153301,NaN,NaN,3
700,0.012688,NaN,NaN,4
900,0.000273,NaN,NaN,1
900,127.14563,NaN,NaN,2
900,5.700315,NaN,NaN,3
900,0.039167,NaN,NaN,4
1100,0.000637,NaN,NaN,1
1100,169.895888,NaN,NaN,2
1100,3.453647,NaN,NaN,3
1100,0.021298,NaN,NaN,4
100,0.000348,NaN,NaN,1
100,10.621988,NaN,NaN,2
100,0.268788,NaN,NaN,3
100,0.009696,NaN,NaN,4
300,0.000341,NaN,NaN,1
300,32.059403,NaN,NaN,2
300,0.872478,NaN,NaN,3
300,0.010665,NaN,NaN,4
500,0.000408,NaN,NaN,1
500,69.580811,NaN,NaN,2
500,3.324313,NaN,NaN,3
500,0.049948,NaN,NaN,4
700,0.000543,NaN,NaN,1
700,127.808852,NaN,NaN,2
700,4.488683,NaN,NaN,3
700,0.028243,NaN,NaN,4
900,0.000388,NaN,NaN,1
